id;name;link;specialization;films_years;description;path_to_folder
17188;ЦСКА;https://www.kinopoisk.ru/name/5372896;;2, 2011 — 2018;;actors_ussr_russia/17188
2557;Артём Башенин;https://www.kinopoisk.ru/name/3702311;Актер;26, 2011 — 2024;Хоккейные папы,Подольские курсанты,Я делаю шаг,Со дна вершины,Последний богатырь,Семейный бизнес,Тётя Марта,Монастырь;actors_ussr_russia/2557
31382;Максим Яковлев;https://www.kinopoisk.ru/name/3427398;Актер;25, 2011 — 2023;Капитан Волконогов бежал,Купчино,Обычная женщина,Цыпленок жареный,Старое ружьё,Шторм;actors_ussr_russia/31382
22073;Евгений Малин;https://www.kinopoisk.ru/name/6942009;Художник;2, 2022 — 2022;;actors_ussr_russia/22073
12319;Алевтина Самойлова;https://www.kinopoisk.ru/name/4184847;Актриса;6, 2004 — 2017;;actors_ussr_russia/12319
13935;Светлана Кузенко;https://www.kinopoisk.ru/name/3701145;Актриса дубляжа;4, 2013 — 2015;;actors_ussr_russia/13935
5809;Майя Усова;https://www.kinopoisk.ru/name/1365586;Актриса;1, 1994 — 1994;;actors_ussr_russia/5809
2558;Эдуард Парри;https://www.kinopoisk.ru/name/1453540;Режиссер,Актер,Сценарист;15, 2004 — 2024;Жили-были,От печали до радости,Пробуждение,Шулер,Маэстро,Остров ненужных людей;actors_ussr_russia/2558
31383;Анне Вески;https://www.kinopoisk.ru/name/700792;Актриса;9, 1986 — 2022;;actors_ussr_russia/31383
20446;Дмитрий Орлов;https://www.kinopoisk.ru/name/6625422;Актер,Сценарист;9, 2014 — 2023;Битва каверов;actors_ussr_russia/20446
925;Мария Вэй;https://www.kinopoisk.ru/name/4302893;Актриса,Актриса дубляжа;3, 2015 — 2017;;actors_ussr_russia/925
4179;Евгений Сахаров;https://www.kinopoisk.ru/name/1602061;Актер;30, 2004 — 2023;А зори здесь тихие...,Уголь,Майор и магия,А зори здесь тихие…,Чернобыль: Зона отчуждения,Перевал Дятлова;actors_ussr_russia/4179
26781;Нина Ракова;https://www.kinopoisk.ru/name/1670912;Актриса,Актриса дубляжа;41, 2000 — 2022;Громовы,Братья Карамазовы,Беспринципные,Маргарита Назарова,Громовы. Дом надежды;actors_ussr_russia/26781
12320;Варвара Расторгина;https://www.kinopoisk.ru/name/4483156;Актриса;1, 2016 — 2016;;actors_ussr_russia/12320
13936;Павел Дацюк;https://www.kinopoisk.ru/name/3932146;Актер;2, 2018 — 2018;;actors_ussr_russia/13936
7427;Анастасия Мыскина;https://www.kinopoisk.ru/name/2402476;;10;;actors_ussr_russia/7427
2559;Илья Ильиных;https://www.kinopoisk.ru/name/3225830;Актер;20, 2013 — 2023;Географ глобус пропил,Тайны госпожи Кирсановой,София,Эффект домино,Годунов,Практика;actors_ussr_russia/2559
